probe_id,level,form_pair,lhs_holder,rhs_holder,x_set_a,x_set_b,n_probes,output_canon_vector,n_values,n_declines
A10_3_3,1,truth|truth,boolean,boolean,"truth/L1/2:true,false","truth/L1/2:true,false",4,false;true;true;false,4,0
A10_3_4,1,truth|truth,boolean,Boolean,"truth/L1/2:true,false","truth/L1/2:true,false",4,false;true;true;false,4,0
A10_4_3,1,truth|truth,Boolean,boolean,"truth/L1/2:true,false","truth/L1/2:true,false",4,false;true;true;false,4,0
A10_4_4,1,truth|truth,Boolean,Boolean,"truth/L1/2:true,false","truth/L1/2:true,false",4,false;true;true;false,4,0
A10_5_5,1,whole|whole,short,short,"whole/L1/7:-42,-1,0,1,7,42,1000","whole/L1/7:-42,-1,0,1,7,42,1000",49,false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false,49,0
A10_5_6,1,whole|whole,short,int,"whole/L1/7:-42,-1,0,1,7,42,1000","whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1",63,true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true,63,0
A10_5_7,1,whole|whole,short,long,"whole/L1/7:-42,-1,0,1,7,42,1000","whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1",112,true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true,112,0
A10_5_8,1,whole|whole,short,Integer,"whole/L1/7:-42,-1,0,1,7,42,1000","whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1",63,true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true,63,0
A10_5_9,1,whole|whole,short,Long,"whole/L1/7:-42,-1,0,1,7,42,1000","whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1",112,true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true,112,0
A10_5_11,1,whole|fractional,short,double,"whole/L1/7:-42,-1,0,1,7,42,1000","fractional/L1/16:-max_finite,-1.5,-1.0,-(1.0-1ulp),-0.0,+0.0,+min_subnormal,+min_normal,1.0-1ulp,1.0,1.0+1ulp,1.5,pi,2^53,max_finite,0.1",112,true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true,112,0
A10_5_12,1,whole|fractional,short,float,"whole/L1/7:-42,-1,0,1,7,42,1000","fractional/L1/7:-1.5,-1.0,-0.0,+0.0,1.0,1.5,2^53",49,true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true,49,0
A10_6_5,1,whole|whole,int,short,"whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1","whole/L1/7:-42,-1,0,1,7,42,1000",63,true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true,63,0
A10_6_6,1,whole|whole,int,int,"whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1","whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1",81,false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false,81,0
A10_6_7,1,whole|whole,int,long,"whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1","whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1",144,true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true,144,0
A10_6_8,1,whole|whole,int,Integer,"whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1","whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1",81,false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false,81,0
A10_6_9,1,whole|whole,int,Long,"whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1","whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1",144,true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true,144,0
A10_6_11,1,whole|fractional,int,double,"whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1","fractional/L1/16:-max_finite,-1.5,-1.0,-(1.0-1ulp),-0.0,+0.0,+min_subnormal,+min_normal,1.0-1ulp,1.0,1.0+1ulp,1.5,pi,2^53,max_finite,0.1",144,true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true,144,0
A10_6_12,1,whole|fractional,int,float,"whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1","fractional/L1/7:-1.5,-1.0,-0.0,+0.0,1.0,1.5,2^53",63,true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true,63,0
A10_7_5,1,whole|whole,long,short,"whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1","whole/L1/7:-42,-1,0,1,7,42,1000",112,true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true,112,0
A10_7_6,1,whole|whole,long,int,"whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1","whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1",144,true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true,144,0
A10_7_7,1,whole|whole,long,long,"whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1","whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1",256,false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false,256,0
A10_7_8,1,whole|whole,long,Integer,"whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1","whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1",144,true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true,144,0
A10_7_9,1,whole|whole,long,Long,"whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1","whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1",256,false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false,256,0
