probe_id,level,form_pair,lhs_holder,rhs_holder,x_set_a,x_set_b,n_probes,output_canon_vector,n_values,n_declines
A6_4_4,1,whole|whole,int,int,"whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1","whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1",81,true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;true;false;false;false;true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;false;false;false;false;false;true;true;true;true;false;false;false;false;false;false;true;true;true;false;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;true,81,0
A6_4_5,1,whole|whole,int,long,"whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1","whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1",144,false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true,144,0
A6_4_8,1,whole|whole,int,short,"whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1","whole/L1/7:-42,-1,0,1,7,42,1000",63,true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;false;false;true;true;true;true;true;false;false;false;true;true;true;true;false;false;false;false;true;true;true;false;false;false;false;false;true;true;false;false;false;false;false;false;true;false;false;false;false;false;false;false,63,0
A6_4_9,1,whole|fractional,int,double,"whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1","fractional/L1/16:-max_finite,-1.5,-1.0,-(1.0-1ulp),-0.0,+0.0,+min_subnormal,+min_normal,1.0-1ulp,1.0,1.0+1ulp,1.5,pi,2^53,max_finite,0.1",144,false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;false,144,0
A6_4_10,1,whole|fractional,int,float,"whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1","fractional/L1/7:-1.5,-1.0,-0.0,+0.0,1.0,1.5,2^53",63,true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;false;false;true;true;true;true;true;false;false;false;false;true;true;true;false;false;false;false;false;false;true;false;false;false;false;false;false;true;false;false;false;false;false;false;true;false;false;false;false;false;false;true,63,0
A6_5_4,1,whole|whole,long,int,"whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1","whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1",144,true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;true;false;false;false;true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;false;false;false;false;false;true;true;true;true;false;false;false;false;false;false;true;true;true;false;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false,144,0
A6_5_5,1,whole|whole,long,long,"whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1","whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1",256,true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true,256,0
A6_5_8,1,whole|whole,long,short,"whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1","whole/L1/7:-42,-1,0,1,7,42,1000",112,true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;false;false;true;true;true;true;true;false;false;false;true;true;true;true;false;false;false;false;true;true;true;false;false;false;false;false;true;true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false,112,0
A6_5_9,1,whole|fractional,long,double,"whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1","fractional/L1/16:-max_finite,-1.5,-1.0,-(1.0-1ulp),-0.0,+0.0,+min_subnormal,+min_normal,1.0-1ulp,1.0,1.0+1ulp,1.5,pi,2^53,max_finite,0.1",256,false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false,256,0
A6_5_10,1,whole|fractional,long,float,"whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1","fractional/L1/7:-1.5,-1.0,-0.0,+0.0,1.0,1.5,2^53",112,true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;false;false;true;true;true;true;true;false;false;false;false;true;true;true;false;false;false;false;false;false;true;false;false;false;false;false;false;true;false;false;false;false;false;false;true;false;false;false;false;false;false;true;false;false;false;false;false;false;true;false;false;false;false;false;false;true;false;false;false;false;false;false;true;false;false;false;false;false;false;false,112,0
