probe_id,level,form_pair,lhs_holder,rhs_holder,x_set_a,x_set_b,n_probes,output_canon_vector,n_values,n_declines,n_unrepresentable,src_x_set_a,src_x_set_b
A7_1_1,1,truth|truth,bool,bool,"truth/L1/6:true,false,0,1,"""",nil","truth/L1/6:true,false,0,1,"""",nil",36,false;true;true;false;RAISE:TypeError;RAISE:TypeError;false;false;false;false;RAISE:TypeError;RAISE:TypeError;false;false;false;false;RAISE:TypeError;RAISE:TypeError;false;true;true;false;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;false;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError,17,19,0,"truth/L1/6:true,false,0,1,"""",nil","truth/L1/6:true,false,0,1,"""",nil"
A7_1_2,1,truth|whole,bool,int,"truth/L1/6:true,false,0,1,"""",nil","whole/L1/17:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1,2^64-1",102,true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError,68,34,0,"truth/L1/6:true,false,0,1,"""",nil","whole/L1/17:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1,2^64-1"
A7_1_3,1,truth|whole,bool,Decimal,"truth/L1/6:true,false,0,1,"""",nil","whole/L1/17:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1,2^64-1",102,true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError,68,34,0,"truth/L1/6:true,false,0,1,"""",nil","whole/L1/17:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1,2^64-1"
A7_1_4,1,truth|whole,bool,Fraction,"truth/L1/6:true,false,0,1,"""",nil","whole/L1/17:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1,2^64-1",102,true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError,68,34,0,"truth/L1/6:true,false,0,1,"""",nil","whole/L1/17:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1,2^64-1"
A7_1_5,1,truth|whole,bool,c_int64,"truth/L1/6:true,false,0,1,"""",nil","whole/L1/17:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1,2^64-1",102,true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;UNREPRESENTABLE;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;UNREPRESENTABLE;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;UNREPRESENTABLE;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;UNREPRESENTABLE;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;UNREPRESENTABLE;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;UNREPRESENTABLE,64,32,6,"truth/L1/6:true,false,0,1,"""",nil","whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1"
A7_1_6,1,truth|fractional,bool,float,"truth/L1/6:true,false,0,1,"""",nil","fractional/L1/16:-max_finite,-1.5,-1.0,-(1.0-1ulp),-0.0,+0.0,+min_subnormal,+min_normal,1.0-1ulp,1.0,1.0+1ulp,1.5,pi,2^53,max_finite,0.1",96,true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;true;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError,64,32,0,"truth/L1/6:true,false,0,1,"""",nil","fractional/L1/16:-max_finite,-1.5,-1.0,-(1.0-1ulp),-0.0,+0.0,+min_subnormal,+min_normal,1.0-1ulp,1.0,1.0+1ulp,1.5,pi,2^53,max_finite,0.1"
A7_1_7,1,truth|fractional,bool,Decimal,"truth/L1/6:true,false,0,1,"""",nil","fractional/L1/16:-max_finite,-1.5,-1.0,-(1.0-1ulp),-0.0,+0.0,+min_subnormal,+min_normal,1.0-1ulp,1.0,1.0+1ulp,1.5,pi,2^53,max_finite,0.1",96,true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;true;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError,64,32,0,"truth/L1/6:true,false,0,1,"""",nil","fractional/L1/16:-max_finite,-1.5,-1.0,-(1.0-1ulp),-0.0,+0.0,+min_subnormal,+min_normal,1.0-1ulp,1.0,1.0+1ulp,1.5,pi,2^53,max_finite,0.1"
A7_1_8,1,truth|fractional,bool,Fraction,"truth/L1/6:true,false,0,1,"""",nil","fractional/L1/16:-max_finite,-1.5,-1.0,-(1.0-1ulp),-0.0,+0.0,+min_subnormal,+min_normal,1.0-1ulp,1.0,1.0+1ulp,1.5,pi,2^53,max_finite,0.1",96,true;true;true;true;UNREPRESENTABLE;true;true;true;true;false;false;false;false;false;false;true;true;true;true;true;UNREPRESENTABLE;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;UNREPRESENTABLE;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;UNREPRESENTABLE;true;true;true;true;false;false;false;false;false;false;true;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;UNREPRESENTABLE;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;UNREPRESENTABLE;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError;RAISE:TypeError,60,30,6,"truth/L1/6:true,false,0,1,"""",nil","fractional/L1/15:-max_finite,-1.5,-1.0,-(1.0-1ulp),+0.0,+min_subnormal,+min_normal,1.0-1ulp,1.0,1.0+1ulp,1.5,pi,2^53,max_finite,0.1"
A7_2_1,1,whole|truth,int,bool,"whole/L1/17:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1,2^64-1","truth/L1/6:true,false,0,1,"""",nil",102,false;false;false;false;RAISE:TypeError;RAISE:TypeError;false;false;false;false;RAISE:TypeError;RAISE:TypeError;false;false;false;false;RAISE:TypeError;RAISE:TypeError;false;false;false;false;RAISE:TypeError;RAISE:TypeError;false;false;false;false;RAISE:TypeError;RAISE:TypeError;false;false;false;false;RAISE:TypeError;RAISE:TypeError;false;false;false;false;RAISE:TypeError;RAISE:TypeError;false;true;true;false;RAISE:TypeError;RAISE:TypeError;true;true;true;true;RAISE:TypeError;RAISE:TypeError;true;true;true;true;RAISE:TypeError;RAISE:TypeError;true;true;true;true;RAISE:TypeError;RAISE:TypeError;true;true;true;true;RAISE:TypeError;RAISE:TypeError;true;true;true;true;RAISE:TypeError;RAISE:TypeError;true;true;true;true;RAISE:TypeError;RAISE:TypeError;true;true;true;true;RAISE:TypeError;RAISE:TypeError;true;true;true;true;RAISE:TypeError;RAISE:TypeError;true;true;true;true;RAISE:TypeError;RAISE:TypeError,68,34,0,"whole/L1/17:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1,2^64-1","truth/L1/6:true,false,0,1,"""",nil"
A7_2_2,1,whole|whole,int,int,"whole/L1/17:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1,2^64-1","whole/L1/17:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1,2^64-1",289,false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false,289,0,0,"whole/L1/17:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1,2^64-1","whole/L1/17:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1,2^64-1"
